total_time;number_of_chars;number_of_errors;wpm;cpm
00:00:24.4948721;124;0;65,96;310
00:00:26.0238984;125;2;60,39;284
00:00:42.1328756;153;1;46,2;217
00:00:25.1644681;115;1;58,21;274
00:00:24.5043381;106;2;55,32;260
00:00:22.4692206;121;0;70,21;330
00:00:29.7298452;129;0;57;267
00:00:23.1578865;120;1;66;310
00:00:22.5052171;116;0;67;316
00:00:28.9202265;136;0;62;291
00:00:19.8880086;112;0;75;354
00:00:23.2572400;112;1;62;290
00:00:22.6074282;130;2;74;349
00:00:22.0535218;115;0;67;314
00:01:11.3581594;343;3;61;287
00:00:28.6368033;128;2;57,45;270
00:00:28.5864299;113;2;50,61;238
00:00:07.5612442;145;19;230;1080
00:02:08.2426726;587;5;58;273
